rep,t,k,w_0,w_1,w_2,h,R
4.0,1.0,4.0,28138.739999999998,28982.9022,29827.0644,0.0,36900.0
4.0,1.0,5.0,28138.739999999998,28982.9022,29827.0644,0.0,29021.0
4.0,1.0,6.0,28138.739999999998,28982.9022,29827.0644,0.0,32157.0
4.0,1.0,7.0,28138.739999999998,28982.9022,29827.0644,0.0,32987.0
4.0,1.0,8.0,28138.739999999998,28982.9022,29827.0644,0.0,42932.0
4.0,1.0,9.0,28138.739999999998,28982.9022,29827.0644,0.0,36202.0
4.0,2.0,0.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,16876.0
4.0,2.0,1.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,24532.0
4.0,2.0,2.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,24093.0
4.0,2.0,3.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,25905.0
4.0,2.0,4.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,38625.0
4.0,2.0,5.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,28747.0
4.0,2.0,6.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,31676.0
4.0,2.0,7.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,34389.0
4.0,2.0,8.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,44320.0
4.0,2.0,9.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,34814.0
5.0,0.0,0.0,24990.0,25739.7,26489.4,0.0,14916.0
5.0,0.0,1.0,24990.0,25739.7,26489.4,0.0,21012.0
5.0,0.0,2.0,24990.0,25739.7,26489.4,0.0,22212.0
5.0,0.0,3.0,24990.0,25739.7,26489.4,0.0,26664.0
5.0,0.0,4.0,24990.0,25739.7,26489.4,0.0,35280.0
5.0,0.0,5.0,24990.0,25739.7,26489.4,0.0,28860.0
5.0,0.0,6.0,24990.0,25739.7,26489.4,0.0,30468.0
5.0,0.0,7.0,24990.0,25739.7,26489.4,0.0,32004.0
5.0,0.0,8.0,24990.0,25739.7,26489.4,0.0,39516.0
5.0,0.0,9.0,24990.0,25739.7,26489.4,0.0,38256.0
5.0,1.0,0.0,28138.739999999998,28982.9022,29827.0644,0.0,16007.0
5.0,1.0,1.0,28138.739999999998,28982.9022,29827.0644,0.0,22346.0
5.0,1.0,2.0,28138.739999999998,28982.9022,29827.0644,0.0,24232.0
5.0,1.0,3.0,28138.739999999998,28982.9022,29827.0644,0.0,27944.0
5.0,1.0,4.0,28138.739999999998,28982.9022,29827.0644,0.0,36798.0
5.0,1.0,5.0,28138.739999999998,28982.9022,29827.0644,0.0,28650.0
5.0,1.0,6.0,28138.739999999998,28982.9022,29827.0644,0.0,32419.0
5.0,1.0,7.0,28138.739999999998,28982.9022,29827.0644,0.0,27547.0
5.0,1.0,8.0,28138.739999999998,28982.9022,29827.0644,0.0,40934.0
5.0,1.0,9.0,28138.739999999998,28982.9022,29827.0644,0.0,35028.0
5.0,2.0,0.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,17437.0
5.0,2.0,1.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,23531.0
5.0,2.0,2.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,25897.0
5.0,2.0,3.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,28073.0
5.0,2.0,4.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,36884.0
5.0,2.0,5.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,29642.0
5.0,2.0,6.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,33063.0
5.0,2.0,7.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,29426.0
5.0,2.0,8.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,40064.0
5.0,2.0,9.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,35426.0
6.0,0.0,0.0,24990.0,25739.7,26489.4,0.0,14916.0
6.0,0.0,1.0,24990.0,25739.7,26489.4,0.0,21012.0
6.0,0.0,2.0,24990.0,25739.7,26489.4,0.0,22212.0
6.0,0.0,3.0,24990.0,25739.7,26489.4,0.0,26664.0
6.0,0.0,4.0,24990.0,25739.7,26489.4,0.0,35280.0
6.0,0.0,5.0,24990.0,25739.7,26489.4,0.0,28860.0
6.0,0.0,6.0,24990.0,25739.7,26489.4,0.0,30468.0
6.0,0.0,7.0,24990.0,25739.7,26489.4,0.0,32004.0
6.0,0.0,8.0,24990.0,25739.7,26489.4,0.0,39516.0
6.0,0.0,9.0,24990.0,25739.7,26489.4,0.0,38256.0
6.0,1.0,0.0,28138.739999999998,28982.9022,29827.0644,0.0,15646.0
6.0,1.0,1.0,28138.739999999998,28982.9022,29827.0644,0.0,21779.0
6.0,1.0,2.0,28138.739999999998,28982.9022,29827.0644,0.0,23755.0
6.0,1.0,3.0,28138.739999999998,28982.9022,29827.0644,0.0,28053.0
6.0,1.0,4.0,28138.739999999998,28982.9022,29827.0644,0.0,36850.0
6.0,1.0,5.0,28138.739999999998,28982.9022,29827.0644,0.0,28779.0
6.0,1.0,6.0,28138.739999999998,28982.9022,29827.0644,0.0,31189.0
6.0,1.0,7.0,28138.739999999998,28982.9022,29827.0644,0.0,31240.0
6.0,1.0,8.0,28138.739999999998,28982.9022,29827.0644,0.0,37999.0
6.0,1.0,9.0,28138.739999999998,28982.9022,29827.0644,0.0,37983.0
6.0,2.0,0.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,17019.0
6.0,2.0,1.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,23305.0
6.0,2.0,2.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,24804.0
6.0,2.0,3.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,29007.0
6.0,2.0,4.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,38041.0
6.0,2.0,5.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,27065.0
6.0,2.0,6.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,31854.0
6.0,2.0,7.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,33663.0
6.0,2.0,8.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,40811.0
6.0,2.0,9.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,36856.0
7.0,0.0,0.0,24990.0,25739.7,26489.4,0.0,14916.0
7.0,0.0,1.0,24990.0,25739.7,26489.4,0.0,21012.0
7.0,0.0,2.0,24990.0,25739.7,26489.4,0.0,22212.0
7.0,0.0,3.0,24990.0,25739.7,26489.4,0.0,26664.0
7.0,0.0,4.0,24990.0,25739.7,26489.4,0.0,35280.0
7.0,0.0,5.0,24990.0,25739.7,26489.4,0.0,28860.0
7.0,0.0,6.0,24990.0,25739.7,26489.4,0.0,30468.0
7.0,0.0,7.0,24990.0,25739.7,26489.4,0.0,32004.0
7.0,0.0,8.0,24990.0,25739.7,26489.4,0.0,39516.0
7.0,0.0,9.0,24990.0,25739.7,26489.4,0.0,38256.0
7.0,1.0,0.0,28138.739999999998,28982.9022,29827.0644,0.0,15887.0
7.0,1.0,1.0,28138.739999999998,28982.9022,29827.0644,0.0,22863.0
7.0,1.0,2.0,28138.739999999998,28982.9022,29827.0644,0.0,23405.0
7.0,1.0,3.0,28138.739999999998,28982.9022,29827.0644,0.0,27789.0
7.0,1.0,4.0,28138.739999999998,28982.9022,29827.0644,0.0,36275.0
7.0,1.0,5.0,28138.739999999998,28982.9022,29827.0644,0.0,28727.0
7.0,1.0,6.0,28138.739999999998,28982.9022,29827.0644,0.0,31915.0
7.0,1.0,7.0,28138.739999999998,28982.9022,29827.0644,0.0,31104.0
7.0,1.0,8.0,28138.739999999998,28982.9022,29827.0644,0.0,42068.0
7.0,1.0,9.0,28138.739999999998,28982.9022,29827.0644,0.0,32238.0
7.0,2.0,0.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,17274.0
7.0,2.0,1.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,23738.0
7.0,2.0,2.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,25389.0
7.0,2.0,3.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,28337.0
7.0,2.0,4.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,37668.0
7.0,2.0,5.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,29394.0
7.0,2.0,6.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,33069.0
7.0,2.0,7.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,29765.0
7.0,2.0,8.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,44685.0
7.0,2.0,9.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,30361.0
8.0,0.0,0.0,24990.0,25739.7,26489.4,0.0,14916.0
8.0,0.0,1.0,24990.0,25739.7,26489.4,0.0,21012.0
8.0,0.0,2.0,24990.0,25739.7,26489.4,0.0,22212.0
8.0,0.0,3.0,24990.0,25739.7,26489.4,0.0,26664.0
8.0,0.0,4.0,24990.0,25739.7,26489.4,0.0,35280.0
8.0,0.0,5.0,24990.0,25739.7,26489.4,0.0,28860.0
8.0,0.0,6.0,24990.0,25739.7,26489.4,0.0,30468.0
8.0,0.0,7.0,24990.0,25739.7,26489.4,0.0,32004.0
8.0,0.0,8.0,24990.0,25739.7,26489.4,0.0,39516.0
8.0,0.0,9.0,24990.0,25739.7,26489.4,0.0,38256.0
8.0,1.0,0.0,28138.739999999998,28982.9022,29827.0644,0.0,16312.0
8.0,1.0,1.0,28138.739999999998,28982.9022,29827.0644,0.0,22252.0
8.0,1.0,2.0,28138.739999999998,28982.9022,29827.0644,0.0,21919.0
8.0,1.0,3.0,28138.739999999998,28982.9022,29827.0644,0.0,26809.0
8.0,1.0,4.0,28138.739999999998,28982.9022,29827.0644,0.0,35152.0
8.0,1.0,5.0,28138.739999999998,28982.9022,29827.0644,0.0,27800.0
8.0,1.0,6.0,28138.739999999998,28982.9022,29827.0644,0.0,30930.0
8.0,1.0,7.0,28138.739999999998,28982.9022,29827.0644,0.0,32463.0
8.0,1.0,8.0,28138.739999999998,28982.9022,29827.0644,0.0,44962.0
8.0,1.0,9.0,28138.739999999998,28982.9022,29827.0644,0.0,36643.0
8.0,2.0,0.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,17662.0
8.0,2.0,1.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,24281.0
8.0,2.0,2.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,23893.0
8.0,2.0,3.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,28452.0
8.0,2.0,4.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,36809.0
8.0,2.0,5.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,28736.0
8.0,2.0,6.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,30654.0
8.0,2.0,7.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,34863.0
8.0,2.0,8.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,46354.0
8.0,2.0,9.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,35389.0
9.0,0.0,0.0,24990.0,25739.7,26489.4,0.0,14916.0
9.0,0.0,1.0,24990.0,25739.7,26489.4,0.0,21012.0
9.0,0.0,2.0,24990.0,25739.7,26489.4,0.0,22212.0
9.0,0.0,3.0,24990.0,25739.7,26489.4,0.0,26664.0
9.0,0.0,4.0,24990.0,25739.7,26489.4,0.0,35280.0
9.0,0.0,5.0,24990.0,25739.7,26489.4,0.0,28860.0
9.0,0.0,6.0,24990.0,25739.7,26489.4,0.0,30468.0
9.0,0.0,7.0,24990.0,25739.7,26489.4,0.0,32004.0
9.0,0.0,8.0,24990.0,25739.7,26489.4,0.0,39516.0
9.0,0.0,9.0,24990.0,25739.7,26489.4,0.0,38256.0
9.0,1.0,0.0,28138.739999999998,28982.9022,29827.0644,0.0,15835.0
9.0,1.0,1.0,28138.739999999998,28982.9022,29827.0644,0.0,22309.0
9.0,1.0,2.0,28138.739999999998,28982.9022,29827.0644,0.0,23576.0
9.0,1.0,3.0,28138.739999999998,28982.9022,29827.0644,0.0,27001.0
9.0,1.0,4.0,28138.739999999998,28982.9022,29827.0644,0.0,36206.0
9.0,1.0,5.0,28138.739999999998,28982.9022,29827.0644,0.0,29211.0
