state_code,county_code,county_sub_code,cntyname,town_name,areaname22,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,cbsasub22,pop2017
13,033,99999,Burke County,,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",741,854,980,1328,1657,METRO12260M12260,22645
13,073,99999,Columbia County,,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",741,854,980,1328,1657,METRO12260M12260,143725
13,189,99999,McDuffie County,,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",741,854,980,1328,1657,METRO12260M12260,21490
13,245,99999,Richmond County,,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",741,854,980,1328,1657,METRO12260M12260,201570
45,003,99999,Aiken County,,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",741,854,980,1328,1657,METRO12260M12260,165705
45,037,99999,Edgefield County,,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",741,854,980,1328,1657,METRO12260M12260,26620
13,181,99999,Lincoln County,,"Lincoln County, GA HUD Metro FMR Area",598,690,789,1092,1096,METRO12260N13181,7770
48,021,99999,Bastrop County,,"Austin-Round Rock, TX MSA",1177,1333,1565,2013,2367,METRO12420M12420,80305
48,055,99999,Caldwell County,,"Austin-Round Rock, TX MSA",1177,1333,1565,2013,2367,METRO12420M12420,40545
48,209,99999,Hays County,,"Austin-Round Rock, TX MSA",1177,1333,1565,2013,2367,METRO12420M12420,194845
48,453,99999,Travis County,,"Austin-Round Rock, TX MSA",1177,1333,1565,2013,2367,METRO12420M12420,1176585
48,491,99999,Williamson County,,"Austin-Round Rock, TX MSA",1177,1333,1565,2013,2367,METRO12420M12420,508315
06,029,99999,Kern County,,"Bakersfield, CA MSA",816,826,1083,1538,1854,METRO12540M12540,878745
24,003,99999,Anne Arundel County,,"Baltimore-Columbia-Towson, MD MSA",1037,1223,1518,1968,2258,METRO12580M12580,564600
24,005,99999,Baltimore County,,"Baltimore-Columbia-Towson, MD MSA",1037,1223,1518,1968,2258,METRO12580M12580,828635
24,013,99999,Carroll County,,"Baltimore-Columbia-Towson, MD MSA",1037,1223,1518,1968,2258,METRO12580M12580,167320
24,025,99999,Harford County,,"Baltimore-Columbia-Towson, MD MSA",1037,1223,1518,1968,2258,METRO12580M12580,250130
24,027,99999,Howard County,,"Baltimore-Columbia-Towson, MD MSA",1037,1223,1518,1968,2258,METRO12580M12580,312495
24,035,99999,Queen Anne's County,,"Baltimore-Columbia-Towson, MD MSA",1037,1223,1518,1968,2258,METRO12580M12580,49070
24,510,99999,Baltimore city,,"Baltimore-Columbia-Towson, MD MSA",1037,1223,1518,1968,2258,METRO12580M12580,619795
23,019,02795,Penobscot County,Bangor city,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,32235
23,019,06925,Penobscot County,Brewer city,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,9165
23,019,22535,Penobscot County,Eddington town,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,2135
23,019,27645,Penobscot County,Glenburn town,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,4575
23,019,30795,Penobscot County,Hampden town,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,7315
23,019,32510,Penobscot County,Hermon town,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,5790
23,019,33490,Penobscot County,Holden town,"Bangor, ME HUD Metro FMR Area",776,894,1154,1431,1748,METRO12620MM0730,3070
